arealand,geo2010,geo1880
4.678072,01097002100,01009700000
.68534303,01097001400,01009700000
80.387947,01097007202,01009700000
.59185702,01097000500,01009700000
.111049,01097000902,01009700000
7.5587769,01097003709,01009700000
15.843145,01097006402,01009700000
21.982397,01097003407,01009700000
1.748291,01097007500,01009700000
119.98695,01097006104,01009700000
10.912418,01097002000,01009700000
7.1298051,01097001901,01009700000
44.896503,01097007201,01009700000
9.7656393,01097003000,01009700000
1.735049,01097004000,01009700000
49.77776,01097007103,01009700000
1.76406,01097005200,01009700000
160.70276,01097006000,01009700000
3.447212,01097002800,01009700000
17.029528,01097006403,01009700000
.81594998,01097004100,01009700000
5.2802539,01097005300,01009700000
1.208192,01097001501,01009700000
74.380295,01097006105,01009700000
104.09367,01097006600,01009700000
1.5791529,01097002301,01009700000
1.735732,01097002302,01009700000
.67561501,01097001302,01009700000
4.5630808,01097005500,01009700000
16.046801,01097006404,01009700000
1.9003201,01097004800,01009700000
45.007137,01097006702,01009700000
2.925426,01097003707,01009700000
4.6928668,01097006902,01009700000
3.0998969,01097005000,01009700000
3.4077909,01097003406,01009700000
25.961647,01097006102,01009700000
31.007145,01097006406,01009700000
.001192,28059042700,01009700000
4.3735442,01097002900,01009700000
2.968466,01097003203,01009700000
2.87802,01097002200,01009700000
3.2145269,01097003704,01009700000
2.4864769,01097003404,01009700000
2.873843,01097003901,01009700000
3.1238699,01097007600,01009700000
34.043465,01097007102,01009700000
2.510417,01129044200,01009700000
.000482,28041950200,01009700000
1.7114069,01097007700,01009700000
3.1975,01097002700,01009700000
3.391212,01097002600,01009700000
.98116899,01097005100,01009700000
4.7961898,01097003708,01009700000
14.697938,01097007400,01009700000
1.3153009,01097000702,01009700000
40.544579,01097007000,01009700000
1.2776181,01097000701,01009700000
5.4449539,01097003501,01009700000
1.945346,01097003205,01009700000
19.102844,01097001200,01009700000
2.090857,01097000600,01009700000
221.15298,01097006200,01009700000
5.432344,01097001800,01009700000
2.758379,01097003706,01009700000
446.87021,01097005900,01009700000
5.4078941,01129044300,01009700000
.32124001,28059040102,01009700000
.01084,28039950102,01009700000
40.765877,01097006501,01009700000
15.21102,01097007101,01009700000
1.936888,01097003608,01009700000
29.66176,01097006302,01009700000
2.265692,01097002502,01009700000
3.7560019,01097003705,01009700000
107.19968,01097003800,01009700000
2.8560901,01097003606,01009700000
2.484761,01097002400,01009700000
.0025279999,28039950101,01009700000
12.468022,01097006802,01009700000
154.73451,01097006502,01009700000
1.669662,01097003902,01009700000
5.1930761,01097004900,01009700000
17.238192,01097006901,01009700000
91.039047,01097007300,01009700000
5.5798221,01097003302,01009700000
3.805248,01097003703,01009700000
9.0302029,01097006405,01009700000
237.99338,01097005700,01009700000
85.70652,01097006301,01009700000
277.11633,01097005800,01009700000
46.128704,01097006701,01009700000
2.828953,01097003602,01009700000
2.0430779,01097003405,01009700000
6.1949558,01097003100,01009700000
170.35301,01097006407,01009700000
14.070183,01097003402,01009700000
10.093372,01097005400,01009700000
3.9645369,01097003502,01009700000
8.1521149,01097003408,01009700000
1.870697,01097003605,01009700000
21.014986,01097006103,01009700000
6.3055921,01097001902,01009700000
1.799137,01097003202,01009700000
3.1887679,01097000800,01009700000
2.749685,01097002501,01009700000
.084818996,01097000901,01009700000
2.7699759,01097003204,01009700000
5.1127062,01097003710,01009700000
.84850299,01097001502,01009700000
21.440405,01097005600,01009700000
1.57608,01097003607,01009700000
.001853,01003010100,01009700000
2.222837,01097003301,01009700000
21.706015,01097006801,01009700000
.036656,01097000903,01009700000
1.9861979,01097001200,01009700130
.263733,01097000200,01009700130
.417151,01097000402,01009700130
.43424499,01097001200,01009700131
.39187101,01097001100,01009700131
.69321698,01097000500,01009700132
.014333,01097000600,01009700132
.53364301,01097000401,01009700132
.00056000001,01097000200,01009700132
.00047900001,01097001001,01009700133
.82228899,01097000901,01009700133
.0053630001,01097000901,01009700134
1.0523911,01097001400,01009700134
1.013321,01097000902,01009700134
.67426199,01097001302,01009700134
.67430198,01097001002,01009700134
.1201,01097001001,01009700134
.70807201,01097000903,01009700134
.146134,01097000200,01009700136
.03294,01097001200,01009700136
.036949001,01097001200,01009700137
.153896,01097000200,01009700137
.207614,01097000200,01009700138
.156638,01097001200,01009700138
.104422,01097001100,01009700139
.067438997,01097000200,01009700139
1.562032,01097001200,01009700139
.28054699,01097000200,01009700140
.302717,01097001100,01009700140
.44154,01097000200,01009700141
.139377,01097001200,01009700141
.32245201,01097000500,01009700141
.42026201,01097000401,01009700141
.27633601,01097000402,01009700141
.000027,01097001001,01009700142
.60455,01097000901,01009700142
.65085101,01097000401,01009700142
.029556001,01097000600,01009700142
.21870901,01097000200,01009700142
.765149,01097000500,01009700142
.072935998,01097002502,01009700142
6.9608674e-08,01097000901,01009700143
.000012,01097000401,01009700143
2.0000000e-06,01097000902,01009700143
.21374699,01097000200,01009700143
.000227,01097001100,01009700143
.76441002,01097001001,01009700143
.778804,01097001002,01009700144
4.9999999e-06,01097000200,01009700144
.52026898,01097001100,01009700144
.15808,01097001001,01009700144
.56582397,01097001302,01009700144
.275334,01097001200,01009700144
1.314436,06001436000,06000100000
4.1175089,06001404400,06000100000
4.782907,06001451102,06000100000
.047536999,06001405600,06000100000
.52480298,06001423601,06000100000
1.602322,06001443301,06000100000
1.806078,06001430800,06000100000
.200813,06001403702,06000100000
1.6932909,06001450750,06000100000
2.0471549,06001431200,06000100000
3.1547551,06001450400,06000100000
1.0320179,06001437300,06000100000
.37148899,06001437702,06000100000
1.053447,06001433104,06000100000
3.1979439,06001430300,06000100000
.51148999,06001407400,06000100000
3.116605,06001436401,06000100000
1.291642,06001441601,06000100000
3.2680759,06001441925,06000100000
.0037080001,06085504422,06000100000
.456774,06001423200,06000100000
1.038151,06001432300,06000100000
.89265299,06001436602,06000100000
.55046898,06001422100,06000100000
75.941963,06001441503,06000100000
.88194799,06001425103,06000100000
2.38341,06001443102,06000100000
.000038999999,06077005206,06000100000
.0039530001,06013392000,06000100000
1.3187979,06001442602,06000100000
1.433093,06001433102,06000100000
2.347554,06001407300,06000100000
1.207024,06001436900,06000100000
1.704818,06001451703,06000100000
2.991159,06001426100,06000100000
51.492695,06001435103,06000100000
.74794197,06001406601,06000100000
.41472301,06001406602,06000100000
.57382298,06001421700,06000100000
5.282083,06001438203,06000100000
1.915272,06001436500,06000100000
3.6821649,06001451201,06000100000
.59510398,06001400200,06000100000
15.518518,06001443103,06000100000
.69123799,06001433103,06000100000
.65638697,06001403800,06000100000
.87295002,06001406900,06000100000
1.143692,06001435602,06000100000
.92852098,06001440305,06000100000
4.27456,06001435102,06000100000
.000015,06013345202,06000100000
.32955801,06001424002,06000100000
1.843804,06001440308,06000100000
1.316779,06001433700,06000100000
8.1388025,06001450742,06000100000
1.506721,06001441923,06000100000
1.204352,06001408800,06000100000
1.181578,06001442601,06000100000
.57832599,06001410300,06000100000
2.7732079,06001430400,06000100000
.94554001,06001435601,06000100000
.946518,06001403400,06000100000
1.730383,06001406100,06000100000
1.388893,06001428200,06000100000
4.63554,06001451401,06000100000
.182412,06001403502,06000100000
.74747801,06001409600,06000100000
1.58031,06001443002,06000100000
2.0000000e-06,06013380000,06000100000
.93740398,06001427100,06000100000
1.322633,06001430700,06000100000
.23017199,06001404102,06000100000
1.8810329,06001427300,06000100000
.95419902,06001431000,06000100000
.01245,06013353001,06000100000
9.7899456,06001450751,06000100000
3.6615951,06001432800,06000100000
.99004501,06001438201,06000100000
1.2336071,06001442700,06000100000
.83114803,06001427800,06000100000
12.688733,06001451300,06000100000
1.9946719,06001441302,06000100000
1.0610549,06001408600,06000100000
.52847397,06001421800,06000100000
.278032,06001403300,06000100000
1.323535,06001433000,06000100000
1.6749279,06001451404,06000100000
.036084998,06013304002,06000100000
3.3700631,06001981900,06000100000
.89516801,06001427700,06000100000
6.8599658,06001400100,06000100000
1.959815,06001442500,06000100000
1.0761549,06001409300,06000100000
1.118259,06001420300,06000100000
.74405098,06001423700,06000100000
1.131011,06001408700,06000100000
8.7782688,06001408100,06000100000
.67452598,06001451403,06000100000
2.609525,06001450744,06000100000
4.2795281,06001440301,06000100000
1.888787,06001441401,06000100000
4.262742,06001436402,06000100000
.70660597,06001410400,06000100000
3.051404,06001444601,06000100000
1.593097,06001437000,06000100000
.83326799,06001428400,06000100000
.72758901,06001425102,06000100000
.044381,06001983200,06000100000
3.07113,06001404502,06000100000
2.5546019,06001437200,06000100000
.70368803,06001400400,06000100000
7.726716,06001428700,06000100000
.344354,06001422700,06000100000
2.6102829,06001430500,06000100000
.37115201,06001404000,06000100000
.000013,06013389100,06000100000
2.005444,06001451704,06000100000
.49450999,06001407500,06000100000
.80713803,06001406000,06000100000
.0033440001,06013354001,06000100000
1.2345769,06001407800,06000100000
.40856999,06001422800,06000100000
.000161,06085504602,06000100000
1.304878,06001435800,06000100000
1.680778,06001441524,06000100000
3.926477,06001450603,06000100000
.90175301,06001408200,06000100000
.72311503,06001409200,06000100000
2.4088061,06001435900,06000100000
.96384501,06001428600,06000100000
269.09445,06001450701,06000100000
2.22995,06001441700,06000100000
1.579626,06001433600,06000100000
45.965218,06001451202,06000100000
.97863698,06001440304,06000100000
1.096552,06001430900,06000100000
.093529001,06001402900,06000100000
