area,gisjoin1950,gisjoin2010
.00062160002,G48045300010,G4804530001402
.00095599901,G48045300010,G4804530002317
.00182693,G48045300010,G4804530002304
.16590799,G48045300010,G4804530001100
2.33482,G48045300010,G4804530001000
.0426488,G48045300010,G4804530000902
.103452,G48045300008,G4804530002109
.0058615999,G48045300008,G4804530001100
.0075494298,G48045300008,G4804530000901
1.02114,G48045300008,G4804530000804
1.44414,G48045300008,G4804530000803
1.4637901,G48045300008,G4804530000802
.60503399,G48045300008,G4804530000801
.0347111,G48045300008,G4804530000700
.030151,G48045300008,G4804530000402
.00079154398,G48045300008,G4804530000401
.0155064,G48045300004,G4804530000307
.0479711,G48045300004,G4804530000306
.035861101,G48045300004,G4804530002109
.015630901,G48045300004,G4804530000601
.0172516,G48045300004,G4804530000500
1.51432,G48045300004,G4804530000402
2.1733201,G48045300004,G4804530000401
.0092161903,G48045300004,G4804530000302
1.48693,G48045300002,G4804530000205
1.47139,G48045300002,G4804530000206
.0094383499,G48045300002,G4804530001603
.328789,G48045300002,G4804530001505
.50016099,G48045300002,G4804530001501
1.79326,G48045300002,G4804530000204
1.18261,G48045300002,G4804530000203
.0311148,G48045300002,G4804530000101
.00982239,G48045300015,G4804530000205
.00290382,G48045300015,G4804530000305
.0074433102,G48045300015,G4804530000304
1.2407,G48045300015,G4804530002105
.045884799,G48045300015,G4804530002104
.083557799,G48045300015,G4804530001818
.040744901,G48045300015,G4804530001812
.00051709299,G48045300015,G4804530001805
.420894,G48045300015,G4804530001804
1.43972,G48045300015,G4804530001505
1.51774,G48045300015,G4804530001504
3.3822,G48045300015,G4804530001503
.086344004,G48045300005,G4804530000601
1.13105,G48045300005,G4804530000500
.00121831,G48045300005,G4804530000401
.0089460099,G48045300005,G4804530000302
.0133512,G48045300005,G4804530000204
.00016902,G48045300005,G4804530000203
.0088820802,G48045300012,G4804530001911
.0107282,G48045300012,G4804530001605
.0034417401,G48045300012,G4804530001602
.00131437,G48045300012,G4804530001305
.0124775,G48045300012,G4804530001303
2.3982301,G48045300012,G4804530001200
.0050042798,G48045300012,G4804530001100
.0054269498,G48045300006,G4804530001605
.024839399,G48045300006,G4804530001603
.0027463201,G48045300006,G4804530000700
.609366,G48045300006,G4804530000604
.78851199,G48045300006,G4804530000603
1.00468,G48045300006,G4804530000601
.0029408501,G48045300006,G4804530000500
.000025743,G48045300006,G4804530000401
.0074691898,G48045300006,G4804530000204
.0211317,G48045300007,G4804530001605
1.46963,G48045300007,G4804530000700
.0542523,G48045300007,G4804530000604
.0067390399,G48045300007,G4804530000601
.0073204301,G48045300007,G4804530000401
.0024574499,G48045300011,G4804530001402
.00041682,G48045300011,G4804530001605
.000225392,G48045300011,G4804530001305
.024335399,G48045300011,G4804530001200
2.40745,G48045300011,G4804530001100
.107789,G48045300011,G4804530000700
.00159572,G48045300011,G4804530001401
.046459001,G48045300009,G4804530001100
2.97737,G48045300009,G4804530000902
.859586,G48045300009,G4804530000901
.0264816,G48045300009,G4804530000804
.0074961102,G48045300009,G4804530000802
.0144338,G48045300009,G4804530000801
.0265519,G48045300009,G4804530002111
1.19856,G48045300003,G4804530000307
.0114989,G48045300003,G4804530000205
1.47717,G48045300003,G4804530000305
2.0984099,G48045300003,G4804530000306
1.18364,G48045300003,G4804530000304
.076281801,G48045300003,G4804530002106
.238655,G48045300003,G4804530002105
.0164345,G48045300003,G4804530001503
.00027264401,G48045300003,G4804530000500
7.5631801e-06,G48045300003,G4804530000401
2.0342,G48045300003,G4804530000302
.026622999,G48045300003,G4804530000203
.0068113902,G48045300013,G4804530001919
.0190157,G48045300013,G4804530001918
.36711001,G48045300013,G4804530001308
.51738697,G48045300013,G4804530001307
.001901,G48045300013,G4804530002308
1.0808901,G48045300013,G4804530001911
.32495999,G48045300013,G4804530001901
.00978244,G48045300013,G4804530001604
.0347257,G48045300013,G4804530001602
3.10901,G48045300013,G4804530001305
